"transaction_id","user_id","subscription_id","quantity","product_name","type","timestamp","reference_number","stripe_session_id","stripe_invoice_id","stripe_customer_id","datatrans_transaction_id","price_amount","price_currency","carbon_amount","carbon_mix","transaction_status"
"208","84","66",NULL,"Climate Citizen","RECURRING","2021-11-15 09:31:49","6141a0dff189f",,"in_1Jvzf3C86j9xUPn06ppwzrEA","cus_KELGGiClON7REy",,"1000","CHF","292","standard","CREATED"
"209","75","61",NULL,"Climate Citizen","RECURRING","2021-11-15 11:10:28","6118d931e40f7",,"in_1Jw1BgC86j9xUPn0jWe8RICf","cus_K2kqgV9sIU07sy",,"1000","CHF","292","standard","CREATED"
"210","51","62",NULL,"Climate Hero","RECURRING","2021-11-15 21:25:15","6119693625210",,"in_1JwAmSC86j9xUPn0oXTAxgBW","cus_K2uljDOqgipIvH",,"3600","CHF","1167","standard","CREATED"
"211","73","59",NULL,"Climate Activist","RECURRING","2021-11-16 15:25:18","6110045315d59",,"in_1JtacSC86j9xUPn0f82TY2C5","cus_K0FF6xXDetlYiz",,"1900","CHF","584","standard","CREATED"
"212","76","63",NULL,"Climate Activist","RECURRING","2021-11-16 19:55:22","611a83b0d08da",,"in_1JwTb3C86j9xUPn0XpJdc4uq","cus_K3EBD5oiMRCx2I",,"1900","CHF","584","standard","CREATED"
"213","77","64",NULL,"Climate Activist","RECURRING","2021-11-16 21:49:33","611ac000baae5",,"in_1JwXdTC86j9xUPn0CyveqSfX","cus_K3INtEsV2SGaB6",,"1900","CHF","584","standard","CREATED"
"214","85","67",NULL,"Climate Activist","RECURRING","2021-11-19 15:05:37","614734dc9fd12",,"in_1JxWm9C86j9xUPn0Vx5NfsPa","cus_KFvYxJnDf4Dm0Y",,"1900","CHF","584","standard","CREATED"
"215","65","53",NULL,"Climate Activist","RECURRING","2021-11-21 00:36:18","60f74f36847ee",,"in_1Jy28zC86j9xUPn0Ok1oVNRY","cus_JtDxIjibE8SJSe",,"1900","CHF","584","standard","CREATED"
"216","68","54",NULL,"Climate Citizen","RECURRING","2021-11-21 08:41:40","60f7c11213da8",,"in_1Jy9jsC86j9xUPn0VnUH4VOK","cus_JtLoN47FeAiCB1",,"1000","CHF","292","standard","CREATED"
"217","76","70",NULL,"Climate Activist","RECURRING","2021-11-22 21:50:39","614b076e79754",,"in_1JyZvwC86j9xUPn05JXgJFpc","cus_KH0sLJj4H0RyiW",,"1900","CHF","584","standard","CREATED"
"218","65",NULL,NULL,"First Step Gift 
(Card)","GIFT_ONETIME","2021-11-25 02:00:30","619ee02d64fa5","cs_live_b1bfqKbcJWPfVeZoLOlpPyx1S2IBzS0fxbucL9VnhoxCs2W0C0RgTEAsAR",NULL,NULL,,"5000","CHF","0","-","CREATED"
"219","65",NULL,NULL,"First Step Gift 
(Card)","GIFT_ONETIME","2021-11-25 02:01:23","619ee0627a99f","cs_live_b1WggCPKsURz3qmLXzPxVgmCuN5r4W5FjdfqWO5TWNaEprqevrZazXV9WB",NULL,NULL,,"5000","CHF","0","-","CREATED"
"220","87","73",NULL,"Climate Citizen","RECURRING","2021-11-25 09:29:10","614ecee69a168",,"in_1JzcO8C86j9xUPn0YicEEA26","cus_KI5TgVOPVGHUfi",,"1000","CHF","292","standard","PAYMENT_SUCCESSFUL"
"221","89",NULL,NULL,"First Step Gift 
(Card)","GIFT_ONETIME","2021-11-25 10:05:43","619f51e65cea7","cs_live_b1ur9qIaGKpEIf42OxKGj8bLfE1DdHBvRwqBlxpYkyqDIYN4AxCvibRQ8d",NULL,NULL,,"5000","CHF","0","-","CREATED"
"222","68",NULL,NULL,"First Step Gift 
(Card)","GIFT_ONETIME","2021-11-25 19:16:06","619fd2e5b1adf","cs_live_b1N2QVcV2LUgC9krfIes5jKWyyF3kAgUhqoaqJsc2geeNpTHuY93LaSSW3",NULL,NULL,,"5000","CHF","0","-","CREATED"
"223","65",NULL,NULL,"First Step Gift 
(Card)","GIFT_ONETIME","2021-11-26 00:09:13","61a0179855f58","cs_live_b1OhGx08cC82A6MjH0iqhgUEcQCF3O111K68GPsPZGU3bSu7RCqu2Q8OOx",NULL,"cus_KfBRjUTW9gRf1v",,"5000","CHF","0","-","PAYMENT_SUCCESSFUL"
"224","69","55",NULL,"Climate Activist","RECURRING","2021-11-29 00:01:38","60fae7156171f",,"in_1Jz1PYC86j9xUPn0GZADCCxu","cus_JuFH9WJAdUfmw9",,"1900","CHF","584","standard","PAYMENT_SUCCESSFUL"
"225","65",NULL,NULL,"First Step Gift 
(Card)","GIFT_ONETIME","2021-11-29 15:24:14","61a4e28d6c6e4","cs_live_b1kpezB8XQAFaLjQlYTTjjxNKbzAgPhP9Tszs1wft3MCvHd23N1SECDxZY",NULL,NULL,,"5000","CHF","0","-","CREATED"
"226","65",NULL,"1","First Step Gift 
(Card)","GIFT_ONETIME","2021-11-30 01:54:26","61a5764177012","cs_live_b1lUIsy8XKfXIIS8G4Yo2ESjtdHLT9vFnINJeZ71oalwyRgVMZfFgpTvVw",NULL,NULL,,"5000","CHF","0","-","CREATED"
"227","65",NULL,"1","First Step Gift 
(Card)","GIFT_ONETIME","2021-11-30 11:10:50","61a5f8aa16207","cs_live_b1y11z1Z71hksx9iwNJdc55xSAfYyArndUIdkh0UiNikgC6gCWBtXMkyP0",NULL,NULL,,"5000","CHF","0","-","CREATED"
"228","90","77","1","Climate Activist","SUB_FIRST","2021-12-01 07:51:39","61a71b7a45b1b","cs_live_b10mYgjVZKG2onaHZJCQ8q2MGNzWJV8CErDtk5Y9X0Ku1u84lXwLhoesyH",NULL,"cus_KhB2Iirhdpv32e",,"1900","CHF","584","standard","PAYMENT_SUCCESSFUL"
"229","91",NULL,"1","First Step Gift 
(Card)","GIFT_ONETIME","2021-12-02 21:02:31","61a9265650b48","cs_live_b1nO85GBs7SsLOtAfOv7OR9Y4bryL43mfJc1J8abcWWwm8GVHFkg1vAsi3",NULL,"cus_Khl28nxNUa2gFl",,"5000","CHF","0","-","PAYMENT_SUCCESSFUL"
"230","91",NULL,"1","First Step Gift 
(Card)","GIFT_ONETIME","2021-12-02 21:05:38","61a92711719e1","cs_live_b1AyGJfp3ZO4MXZFMsLQVU55pdaTzN8pr29R4dMgVbpnDDGox6o2fmOKeq",NULL,"cus_Khl3BLl54wT3V7",,"5000","CHF","0","-","PAYMENT_SUCCESSFUL"
"231","65",NULL,"1","First Step Gift 
(Card)","GIFT_ONETIME","2021-12-06 20:15:54","61ae6169b007c","cs_live_b17mEme6JJzO1pLIbhqrEMjtRcFeqS9gyjjMmLcitNE8iaR5LmHb3tPWNi",NULL,NULL,,"5000","CHF","0","-","CREATED"
"232","92",NULL,"2","Outstanding Support Gift 
(Card)","GIFT_ONETIME","2021-12-07 22:33:27","61afd32672c40","cs_live_b1eil88g57iRMmqELHYyrsmr8lzR9oKg5SmHsCsAJR3erpIeI7noYnBoH4",NULL,"cus_KjebLt6AEoFQC8",,"16000","CHF","0","-","PAYMENT_SUCCESSFUL"
"233","81",NULL,"1","Outstanding Support Gift 
(Card)","GIFT_ONETIME","2021-12-12 18:15:47","61b62e422cd13","cs_live_b1Wy0hpKWuk2sims2rBCZcu0N7ZbLw4NxKgpIWzCThw3EeGQ137FtiDr1j",NULL,"cus_KlSaKgnxSf7hc6",,"16000","CHF","0","-","PAYMENT_SUCCESSFUL"
"234","93",NULL,"6","Friendly Gesture One-time Gift (Card)","GIFT_ONETIME","2021-12-15 13:49:56","61b9e473e00d0","cs_live_b1RSh2k3UJc03bhERRzsBpMmeyz8aWKpzZN9g0kTgvQ9GVTu40GfugMbLR",NULL,"cus_KmVzjU5PabwQ24",,"2500","CHF","0","-","PAYMENT_SUCCESSFUL"
"235","93",NULL,"3","Friendly Gesture One-time Gift (PDF)","GIFT_ONETIME","2021-12-15 13:55:37","61b9e5c92a9e8","cs_live_b1W6e5daD8cXeKteRrel639LVjK0AQZ8Md64k7jbG7eZWeC6b4FF69KHeV",NULL,"cus_KmW5YshZIpGQs9",,"2000","CHF","0","-","PAYMENT_SUCCESSFUL"
"237","94",NULL,"1","Friendly Gesture One-time Gift (Card)","GIFT_ONETIME","2021-12-17 15:09:05","61bc9a00b58a1","cs_live_b1nViWMYSSPJUlp1603GopVJty5D2wnW4jJCkxi53XWdLafxwRUShfdG2R",NULL,"cus_KnHjwuPJCT5euH",,"2500","CHF","0","-","PAYMENT_SUCCESSFUL"
"238","95",NULL,"1","First Step Gift 
(PDF)","GIFT_ONETIME","2021-12-18 10:24:32","61bda8cff07e9","cs_live_b1OsCXSfBdq4PYvujqKaRtfsvmnKglnbtNeR6r4Gjul5QOTvzynargEIoJ",NULL,NULL,,"4500","CHF","0","-","CREATED"
"239","95",NULL,"1","First Step Gift 
(Card)","GIFT_ONETIME","2021-12-18 10:26:13","61bda934ab579","cs_live_b1yPG43lHmMRCX86kV2C2vUJ9NFktLZ3uGVYzAXl3KvhjvbgePhWOd79xB",NULL,"cus_KnaOeHR2Uzi7wv",,"5000","CHF","0","-","PAYMENT_SUCCESSFUL"
"240","65",NULL,"2","Friendly Gesture One-time Gift (Card)","GIFT_ONETIME","2021-12-18 11:13:24","61bdb443b371f","cs_live_b1lOcFiaDpMq8S9vp1Y1c7fjHNLeDe1Sz3fuSyPwm5Fbritpjxvlz6GgjS",NULL,NULL,,"2500","CHF","0","-","CREATED"
"241","96",NULL,"1","Friendly Gesture","ONETIME","2021-12-20 19:27:25","61c0cb0dc36a8",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"242","97",NULL,"1","Friendly Gesture","ONETIME","2021-12-20 19:33:36","61c0cc80d88fa",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"243","89",NULL,"1","First Step Gift 
(Card)","GIFT_ONETIME","2021-12-21 08:04:03","61c17c625559c","cs_live_b1DbfFOKNeQTdRfA1nzbI3Nao0buhfyBTDacnLJd9h1NasC89F4V65VC85",NULL,"cus_Kofk0rYqfqDFPm",,"5000","CHF","0","-","PAYMENT_SUCCESSFUL"
"244","68",NULL,"1","Friendly Gesture One-time Gift (Card)","GIFT_ONETIME","2021-12-21 16:09:55","61c1ee431224f","cs_live_b1bcnbfvW28T2wBjFkxpDRfRuR25so5ukyrgBhFEB2c7knlKrZHT34Pcid",NULL,"cus_Kona8B7aOcyG1G",,"2500","CHF","0","-","PAYMENT_SUCCESSFUL"
"245","98",NULL,"1","Outstanding Support Gift 
(Card)","GIFT_ONETIME","2021-12-22 08:57:24","61c2da6342e6e","cs_live_b15X3mCMddnIThkXdvTSjPXDW3JtVT5eNBo31bYP0RTPauZiYCUyF5saCq",NULL,"cus_Kp3qNCWS3xOLlb",,"16000","CHF","0","-","PAYMENT_SUCCESSFUL"
"246","99",NULL,"1","Friendly Gesture One-time Gift (Card)","GIFT_ONETIME","2021-12-22 18:09:47","61c35bda72910","cs_live_b1eWJhfjhvdvD6EayudFBmbWr5QvlYDxq8B9ibLQd7OM0HnuovkPnTveMf",NULL,NULL,,"2500","CHF","0","-","CREATED"
"247","99",NULL,"1","Friendly Gesture One-time Gift (Card)","GIFT_ONETIME","2021-12-22 18:09:47","61c35bda7a2c6","cs_live_b13XDtTSxOY1FBnuKtm70sORufJrBm6fA9IR8Y93RotbWazMNIGXbuNMpG",NULL,"cus_KpClmNIxoU5BIs",,"2500","CHF","0","-","PAYMENT_SUCCESSFUL"
"248","100",NULL,"1","Friendly Gesture","ONETIME","2021-12-23 08:24:43","61c4243ba2820",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
"249","101",NULL,"1","Friendly Gesture","ONETIME","2021-12-23 13:47:38","61c46feabf789",,NULL,NULL,,"2000","CHF","500","standard","PAYMENT_WITH_PROMOCODE"
